"row ID","Document","Sentence","Number of terms","Pre-processed"
"Row0","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments",11,"designing metaverse study inclusion diversity equity accessibility safety digital immersive environments"
"Row1","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","Telematics Informatics Contents lists available ScienceDirect 

Telematics Informatics 

journal homepage wwwelseviercomlocatetele",11,"telematics informatics contents lists available sciencedirect 

telematics informatics 

journal homepage wwwelseviercomlocatetele"
"Row2","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","Designing metaverse study inclusion diversity equity 
accessibility safety digital immersive environments 

Matteo Zallio P John Clarkson 
University Cambridge Department Engineering Engineering Design Centre Trumpington Street Cambridge CB2 1PZ United Kingdom   

Keywords metaverse digital immersive environment people interact using immersive 
Metaverse technologies shaping people interact socialise",45,"designing metaverse study inclusion diversity equity 
accessibility safety digital immersive environments 

matteo zallio p john clarkson 
university cambridge department engineering engineering design centre trumpington street cambridge cb2 1pz united kingdom   

keywords metaverse digital immersive environment people interact using immersive 
metaverse technologies shaping people interact socialise"
"Row3","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","Forecasts predict Inclusive design quarter population spend hour day metaverse",10,"forecasts predict inclusive design quarter population spend hour day metaverse"
"Row4","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","pro-
Digital immersive environment jection requires consideration challenges opportunities influence Augmented reality 
Virtual reality design metaverse",16,"pro-
digital immersive environment jection requires consideration challenges opportunities influence augmented reality 
virtual reality design metaverse"
"Row5","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","qualitative ethnographic study industry experts carried Diversity equity inclusion explore social impact metaverse lens inclusion diversity equity 
accessibility safety goal identify directions business undertake",24,"qualitative ethnographic study industry experts carried diversity equity inclusion explore social impact metaverse lens inclusion diversity equity 
accessibility safety goal identify directions business undertake"
"Row6","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","results 
indicated vast nature future research questions answered facilitated 
creation practices designing inclusive accessible safe metaverse gua-
rantees equity diversity",21,"results 
indicated vast nature future research questions answered facilitated 
creation practices designing inclusive accessible safe metaverse gua-
rantees equity diversity"
"Row7","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","practices starting develop narrative 
spark conversations brainstorm questions eventually provide answers designing met-
averse people substitute physical world complements",19,"practices starting develop narrative 
spark conversations brainstorm questions eventually provide answers designing met-
averse people substitute physical world complements"
"Row8","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","Introduction 

Human  nature social animals Aristotle innate socialise communicate individuals create social interactions various genre",15,"introduction 

human  nature social animals aristotle innate socialise communicate individuals create social interactions various genre"
"Row9","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","centuries social interactions widely developed in-person connections means verbal visual 
auditory sensory interaction",13,"centuries social interactions widely developed in-person connections means verbal visual 
auditory sensory interaction"
"Row10","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","past century forms social interaction developed Antonucci et al",9,"past century forms social interaction developed antonucci et al"
"Row11","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","example invention telephone human started connect exchange ideas feelings 
frequently efficiently occurred historically Srivastava",14,"example invention telephone human started connect exchange ideas feelings 
frequently efficiently occurred historically srivastava"
"Row12","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","pivotal event allowed tech-
nological evolution led massive growth analogue technologies",12,"pivotal event allowed tech-
nological evolution led massive growth analogue technologies"
"Row13","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","Progress rarely ceases past half century society 
witnessed constant development analogue technologies evolved digital technologies recently immersive 
technologies Nelson Ellis",20,"progress rarely ceases past half century society 
witnessed constant development analogue technologies evolved digital technologies recently immersive 
technologies nelson ellis"
"Row14","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","evolution digital technologies immersive technologies Virtual Reality VR Augmented Reality ARstrong impact gestures communication current digitalised world talking phone sharing video 
message simply participating online meeting Cipresso et al",30,"evolution digital technologies immersive technologies virtual reality vr augmented reality arstrong impact gestures communication current digitalised world talking phone sharing video 
message simply participating online meeting cipresso et al"
"Row15","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","creation hyper-realistic digital immersive en-
vironments shape digital twins virtual twins 3D immersive experiences generate novel interactions people 
technology spaces Prabhakaran et al",23,"creation hyper-realistic digital immersive en-
vironments shape digital twins virtual twins 3d immersive experiences generate novel interactions people 
technology spaces prabhakaran et al"
"Row16","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","Corresponding author",2,"corresponding author"
"Row17","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","E-mail address Mz461camacuk M",5,"e-mail address mz461camacuk m"
"Row18","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","Zallio",1,"zallio"
"Row19","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","httpsdoiorg101016jtele",3,"httpsdoiorg101016jtele"
"Row20","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","Received March  Received revised form September  Accepted October Available online November 0736-5853© Author",13,"received march  received revised form september  accepted october available online november 0736-5853© author"
"Row21","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","Published Elsevier Ltd",3,"published elsevier ltd"
"Row22","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","access article CC BY-NC-ND license
httpcreativecommonsorglicensesby-nc-nd40",8,"access article cc by-nc-nd license
httpcreativecommonsorglicensesby-nc-nd40"
"Row23","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","mailtoMz461camacuk
wwwsciencedirectcomsciencejournal07365853",4,"mailtomz461camacuk
wwwsciencedirectcomsciencejournal07365853"
"Row24","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","httpswwwelseviercomlocatetele",2,"httpswwwelseviercomlocatetele"
"Row25","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","httpsdoiorg101016jtele",3,"httpsdoiorg101016jtele"
"Row26","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","httpsdoiorg101016jtele",3,"httpsdoiorg101016jtele"
"Row27","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","httpcrossmarkcrossreforgdialogdoi101016jtele2022101909domainpdf",5,"httpcrossmarkcrossreforgdialogdoi101016jtele2022101909domainpdf"
"Row28","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","httpsdoiorg101016jtele",3,"httpsdoiorg101016jtele"
"Row29","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","httpcreativecommonsorglicensesby-nc-nd40


M Zallio PJ Clarkson                                                                                                                                                recent history events including COVID-19 pandemic allowed businesses nurture silent constant 
evolution immersive technologies created heightened hyped community Jones et al",28,"httpcreativecommonsorglicensesby-nc-nd40


m zallio pj clarkson                                                                                                                                                recent history events including covid-19 pandemic allowed businesses nurture silent constant 
evolution immersive technologies created heightened hyped community jones et al"
"Row30","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","importance building maintaining growing meaningful human social connections interactions creation digital virtual immersive environments metaverse Meta omniverse Nvidia multiverse 
Forbes recently flourished",22,"importance building maintaining growing meaningful human social connections interactions creation digital virtual immersive environments metaverse meta omniverse nvidia multiverse 
forbes recently flourished"
"Row31","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","recent definitions metaverse encompasses set digital spaces including interconnected immersive 3D expe-
riences Meta allows people virtually represented avatars digital environment connect 
socialise explore scenarios 3D immersive spaces physically",29,"recent definitions metaverse encompasses set digital spaces including interconnected immersive 3d expe-
riences meta allows people virtually represented avatars digital environment connect 
socialise explore scenarios 3d immersive spaces physically"
"Row32","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","definitions nuances currently characterise metaverse space provide sensorial experiences adding haptic sensory cognitive feedback enhance current two-dimensional experience 
smartphones tablets computers mainstream consumer electronics",24,"definitions nuances currently characterise metaverse space provide sensorial experiences adding haptic sensory cognitive feedback enhance current two-dimensional experience 
smartphones tablets computers mainstream consumer electronics"
"Row33","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","understand potential technology applications recent research reported prediction immersive technologies growth metaverse people world introduction products near future Gartner",19,"understand potential technology applications recent research reported prediction immersive technologies growth metaverse people world introduction products near future gartner"
"Row34","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","Whilst opportunities emerging challenges appear horizon Zahid",7,"whilst opportunities emerging challenges appear horizon zahid"
"Row35","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","example Institute 
Digital Fashion partnership Circular Fashion Summit reported avatars failing represent identities users wish express Institute Digital Fashion",19,"example institute 
digital fashion partnership circular fashion summit reported avatars failing represent identities users wish express institute digital fashion"
"Row36","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","Additionally appears difficult immersive virtual worlds scale avatars transcend platforms Dwivedi et al",13,"additionally appears difficult immersive virtual worlds scale avatars transcend platforms dwivedi et al"
